rule_id,product_code,product_category,minimum_margin_pct,target_margin_pct,stretch_margin_pct,exception_approver,exception_rule,effective_from,status
MARG-061,MSB-061,Steel Billet,9.47,20.45,25.13,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-062,MSP-062,Steel Plate,6.47,15.71,19.81,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-063,SHT-063,Steel Sheet,10.04,13.47,18.1,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-064,COI-064,Steel Coil,11.78,22.74,27.7,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-065,TMT-065,Reinforcement Bar,7.46,13.84,20.81,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-066,IBE-066,I Beam,9.56,18.74,21.72,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-067,CHN-067,Channel Section,10.59,13.89,16.01,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-068,ANG-068,Structural Angle,11.66,15.33,18.35,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-069,FLT-069,Flat Bar,6.13,9.81,17.46,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-070,RND-070,Round Bar,7.37,19.24,26.6,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-071,PIP-071,Steel Pipe,5.22,16.7,19.69,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-072,HSS-072,Hollow Section,6.1,10.01,13.24,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-073,SSP-073,Stainless Steel,7.86,15.85,23.4,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-074,FIT-074,Pipe Fitting,6.86,12.39,15.82,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-075,GRT-075,Industrial Grating,7.75,15.7,20.65,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-076,MSB-076,Steel Billet,7.53,14.38,18.15,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-077,MSP-077,Steel Plate,9.38,16.7,19.28,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-078,SHT-078,Steel Sheet,6.2,11.83,14.32,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-079,COI-079,Steel Coil,7.16,13.74,18.67,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-080,TMT-080,Reinforcement Bar,6.86,15.64,19.97,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-081,IBE-081,I Beam,11.2,17.52,22.19,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-082,CHN-082,Channel Section,8.08,13.45,20.47,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-083,ANG-083,Structural Angle,5.43,15.2,21.2,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-084,FLT-084,Flat Bar,9.68,19.95,24.43,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-085,RND-085,Round Bar,6.59,10.14,14.46,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-086,PIP-086,Steel Pipe,7.93,15.75,22.95,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-087,HSS-087,Hollow Section,9.01,14.13,17.92,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-088,SSP-088,Stainless Steel,11.32,20.75,25.76,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-089,FIT-089,Pipe Fitting,10.6,19.7,25.42,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-090,GRT-090,Industrial Grating,11.64,18.68,26.37,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-091,MSB-091,Steel Billet,11.81,22.09,24.85,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-092,MSP-092,Steel Plate,5.55,14.7,17.91,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-093,SHT-093,Steel Sheet,6.04,14.4,18.32,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-094,COI-094,Steel Coil,11.4,15.0,19.33,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-095,TMT-095,Reinforcement Bar,8.86,19.57,24.69,Pricing Manager,Human approval required below minimum margin,2026-01-01,Active
MARG-096,IBE-096,I Beam,10.51,19.12,24.26,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-097,CHN-097,Channel Section,5.79,10.14,15.54,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-098,ANG-098,Structural Angle,10.31,21.77,29.32,Finance Head,Human approval required below minimum margin,2026-01-01,Active
MARG-099,FLT-099,Flat Bar,10.46,20.53,27.73,Sales Head,Human approval required below minimum margin,2026-01-01,Active
MARG-100,RND-100,Round Bar,11.15,16.53,22.46,Finance Head,Human approval required below minimum margin,2026-01-01,Active
