product_code,product_name,warehouse,physical_qty,reserved_qty,available_qty,damaged_qty,reorder_level,stock_status,last_updated
IBE-021,I Beam Model 021,Mumbai WH,551,87,453,11,80,OK,2026-07-03
CHN-022,Channel Section Model 022,Delhi WH,441,8,423,10,114,OK,2026-06-25
ANG-023,Structural Angle Model 023,Chennai WH,321,84,236,1,106,OK,2026-06-28
FLT-024,Flat Bar Model 024,Ahmedabad WH,316,85,225,6,113,OK,2026-07-02
RND-025,Round Bar Model 025,Bengaluru WH,302,70,230,2,79,OK,2026-07-01
PIP-026,Steel Pipe Model 026,Mumbai WH,388,86,291,11,74,OK,2026-06-25
HSS-027,Hollow Section Model 027,Delhi WH,582,38,538,6,170,OK,2026-07-14
SSP-028,Stainless Steel Model 028,Chennai WH,311,36,272,3,140,OK,2026-06-19
FIT-029,Pipe Fitting Model 029,Ahmedabad WH,593,77,506,10,112,OK,2026-06-30
GRT-030,Industrial Grating Model 030,Bengaluru WH,452,56,386,10,84,OK,2026-06-28
MSB-031,Steel Billet Model 031,Mumbai WH,484,101,371,12,73,OK,2026-06-23
MSP-032,Steel Plate Model 032,Delhi WH,86,36,42,8,115,REORDER,2026-07-12
SHT-033,Steel Sheet Model 033,Chennai WH,240,86,150,4,87,OK,2026-06-19
COI-034,Steel Coil Model 034,Ahmedabad WH,203,18,185,0,41,OK,2026-07-07
TMT-035,Reinforcement Bar Model 035,Bengaluru WH,486,78,396,12,48,OK,2026-06-30
IBE-036,I Beam Model 036,Mumbai WH,424,113,301,10,177,OK,2026-07-08
CHN-037,Channel Section Model 037,Delhi WH,393,63,324,6,92,OK,2026-07-10
ANG-038,Structural Angle Model 038,Chennai WH,5,0,0,12,138,REORDER,2026-07-07
FLT-039,Flat Bar Model 039,Ahmedabad WH,180,102,67,11,162,REORDER,2026-06-30
RND-040,Round Bar Model 040,Bengaluru WH,51,35,13,3,61,REORDER,2026-06-30
PIP-041,Steel Pipe Model 041,Mumbai WH,136,102,27,7,165,REORDER,2026-06-27
HSS-042,Hollow Section Model 042,Delhi WH,324,96,221,7,159,OK,2026-07-01
SSP-043,Stainless Steel Model 043,Chennai WH,561,57,502,2,151,OK,2026-06-30
FIT-044,Pipe Fitting Model 044,Ahmedabad WH,265,96,166,3,100,OK,2026-06-20
GRT-045,Industrial Grating Model 045,Bengaluru WH,533,62,461,10,91,OK,2026-07-06
MSB-046,Steel Billet Model 046,Mumbai WH,450,9,430,11,103,OK,2026-07-07
MSP-047,Steel Plate Model 047,Delhi WH,278,42,231,5,168,OK,2026-07-12
SHT-048,Steel Sheet Model 048,Chennai WH,141,19,119,3,128,REORDER,2026-06-22
COI-049,Steel Coil Model 049,Ahmedabad WH,156,90,63,3,46,OK,2026-07-01
TMT-050,Reinforcement Bar Model 050,Bengaluru WH,417,42,367,8,149,OK,2026-07-01
IBE-051,I Beam Model 051,Mumbai WH,63,26,31,6,129,REORDER,2026-06-20
CHN-052,Channel Section Model 052,Delhi WH,598,89,509,0,177,OK,2026-07-02
ANG-053,Structural Angle Model 053,Chennai WH,488,0,483,5,106,OK,2026-06-20
FLT-054,Flat Bar Model 054,Ahmedabad WH,399,109,284,6,167,OK,2026-06-21
RND-055,Round Bar Model 055,Bengaluru WH,559,102,448,9,86,OK,2026-06-29
PIP-056,Steel Pipe Model 056,Mumbai WH,224,34,184,6,154,OK,2026-07-14
HSS-057,Hollow Section Model 057,Delhi WH,398,43,345,10,133,OK,2026-06-21
SSP-058,Stainless Steel Model 058,Chennai WH,169,107,55,7,62,REORDER,2026-06-25
FIT-059,Pipe Fitting Model 059,Ahmedabad WH,546,3,537,6,174,OK,2026-06-23
GRT-060,Industrial Grating Model 060,Bengaluru WH,27,2,15,10,139,REORDER,2026-07-10
MSB-061,Steel Billet Model 061,Mumbai WH,472,23,449,0,96,OK,2026-07-02
MSP-062,Steel Plate Model 062,Delhi WH,335,27,301,7,113,OK,2026-07-04
SHT-063,Steel Sheet Model 063,Chennai WH,388,35,341,12,137,OK,2026-07-06
COI-064,Steel Coil Model 064,Ahmedabad WH,83,60,23,0,168,REORDER,2026-07-13
TMT-065,Reinforcement Bar Model 065,Bengaluru WH,358,28,320,10,47,OK,2026-06-20
IBE-066,I Beam Model 066,Mumbai WH,41,1,37,3,81,REORDER,2026-07-14
CHN-067,Channel Section Model 067,Delhi WH,156,30,124,2,151,REORDER,2026-06-23
ANG-068,Structural Angle Model 068,Chennai WH,117,72,42,3,149,REORDER,2026-06-22
FLT-069,Flat Bar Model 069,Ahmedabad WH,262,98,159,5,72,OK,2026-06-25
RND-070,Round Bar Model 070,Bengaluru WH,117,99,16,2,109,REORDER,2026-07-11
PIP-071,Steel Pipe Model 071,Mumbai WH,592,3,585,4,177,OK,2026-06-23
HSS-072,Hollow Section Model 072,Delhi WH,384,50,323,11,80,OK,2026-07-12
SSP-073,Stainless Steel Model 073,Chennai WH,248,13,224,11,107,OK,2026-06-23
FIT-074,Pipe Fitting Model 074,Ahmedabad WH,123,101,13,9,40,REORDER,2026-07-03
GRT-075,Industrial Grating Model 075,Bengaluru WH,545,54,481,10,124,OK,2026-07-12
MSB-076,Steel Billet Model 076,Mumbai WH,518,82,431,5,33,OK,2026-07-01
MSP-077,Steel Plate Model 077,Delhi WH,501,13,482,6,122,OK,2026-06-24
SHT-078,Steel Sheet Model 078,Chennai WH,470,90,378,2,141,OK,2026-07-09
COI-079,Steel Coil Model 079,Ahmedabad WH,534,83,447,4,167,OK,2026-06-20
TMT-080,Reinforcement Bar Model 080,Bengaluru WH,495,59,430,6,98,OK,2026-07-04
IBE-081,I Beam Model 081,Mumbai WH,251,106,144,1,101,OK,2026-06-30
CHN-082,Channel Section Model 082,Delhi WH,249,96,146,7,175,REORDER,2026-06-25
ANG-083,Structural Angle Model 083,Chennai WH,388,43,345,0,156,OK,2026-07-04
FLT-084,Flat Bar Model 084,Ahmedabad WH,186,62,121,3,120,OK,2026-06-19
RND-085,Round Bar Model 085,Bengaluru WH,264,43,217,4,100,OK,2026-06-27
PIP-086,Steel Pipe Model 086,Mumbai WH,10,8,0,3,51,REORDER,2026-07-07
HSS-087,Hollow Section Model 087,Delhi WH,416,62,346,8,91,OK,2026-06-22
SSP-088,Stainless Steel Model 088,Chennai WH,487,82,394,11,155,OK,2026-06-30
FIT-089,Pipe Fitting Model 089,Ahmedabad WH,17,2,11,4,86,REORDER,2026-07-02
GRT-090,Industrial Grating Model 090,Bengaluru WH,249,39,200,10,178,OK,2026-07-03
MSB-091,Steel Billet Model 091,Mumbai WH,484,70,406,8,118,OK,2026-07-01
MSP-092,Steel Plate Model 092,Delhi WH,563,42,516,5,146,OK,2026-07-06
SHT-093,Steel Sheet Model 093,Chennai WH,313,32,278,3,60,OK,2026-06-21
COI-094,Steel Coil Model 094,Ahmedabad WH,197,40,156,1,167,REORDER,2026-06-20
TMT-095,Reinforcement Bar Model 095,Bengaluru WH,189,24,162,3,153,OK,2026-07-06
IBE-096,I Beam Model 096,Mumbai WH,537,76,457,4,55,OK,2026-07-08
CHN-097,Channel Section Model 097,Delhi WH,303,29,269,5,75,OK,2026-07-05
ANG-098,Structural Angle Model 098,Chennai WH,14,11,0,8,62,REORDER,2026-07-06
FLT-099,Flat Bar Model 099,Ahmedabad WH,46,3,35,8,104,REORDER,2026-06-22
RND-100,Round Bar Model 100,Bengaluru WH,129,81,36,12,155,REORDER,2026-07-11
