customer_id,company_name,contact_person,phone,email,city,state,customer_type,gstin,credit_limit_inr,outstanding_amount_inr,payment_behavior,previous_orders_count,lifetime_sales_inr,lead_source,status
CUST-0028,Indus Industrial 028 Pvt Ltd,Contact Person 028,+91-9382116655,buyer028@examplebusiness.in,Raipur,Chhattisgarh,EPC Contractor,GSTIN0000000028,7300000,1460000,High Risk,23,29900000,Referral,Active
CUST-0029,Jupiter Industrial 029 Pvt Ltd,Contact Person 029,+91-9528853029,buyer029@examplebusiness.in,Indore,Madhya Pradesh,OEM,GSTIN0000000029,7900000,1120000,Average,11,11200000,Trade Fair,Active
CUST-0030,Apex Industrial 030 Pvt Ltd,Contact Person 030,+91-9647099690,buyer030@examplebusiness.in,Nagpur,Maharashtra,Government,GSTIN0000000030,2200000,0,Excellent,15,4600000,Email,Active
CUST-0031,Bharat Industrial 031 Pvt Ltd,Contact Person 031,+91-9264112119,buyer031@examplebusiness.in,Bengaluru,Karnataka,Dealer,GSTIN0000000031,1900000,145000,Delayed,20,8100000,WhatsApp,Active
CUST-0032,Crest Industrial 032 Pvt Ltd,Contact Person 032,+91-9553290810,buyer032@examplebusiness.in,Chennai,Tamil Nadu,Distributor,GSTIN0000000032,9200000,0,Good,19,3200000,Website,Active
CUST-0033,Delta Industrial 033 Pvt Ltd,Contact Person 033,+91-9739830322,buyer033@examplebusiness.in,Hyderabad,Telangana,Corporate,GSTIN0000000033,5300000,1010000,High Risk,14,27000000,IndiaMART,Inactive
CUST-0034,Everest Industrial 034 Pvt Ltd,Contact Person 034,+91-9112327652,buyer034@examplebusiness.in,Mumbai,Maharashtra,EPC Contractor,GSTIN0000000034,7500000,665000,Average,21,36900000,Referral,Active
CUST-0035,Falcon Industrial 035 Pvt Ltd,Contact Person 035,+91-9831980933,buyer035@examplebusiness.in,Pune,Maharashtra,OEM,GSTIN0000000035,1900000,0,Excellent,17,38400000,Trade Fair,Active
CUST-0036,Galaxy Industrial 036 Pvt Ltd,Contact Person 036,+91-9465260635,buyer036@examplebusiness.in,Ahmedabad,Gujarat,Government,GSTIN0000000036,8700000,705000,Delayed,3,15000000,Email,Active
CUST-0037,Horizon Industrial 037 Pvt Ltd,Contact Person 037,+91-9269820594,buyer037@examplebusiness.in,Delhi,Delhi,Dealer,GSTIN0000000037,6000000,0,Good,14,100000,WhatsApp,Active
CUST-0038,Indus Industrial 038 Pvt Ltd,Contact Person 038,+91-9918150683,buyer038@examplebusiness.in,Noida,Uttar Pradesh,Distributor,GSTIN0000000038,6900000,695000,High Risk,5,25900000,Website,Active
CUST-0039,Jupiter Industrial 039 Pvt Ltd,Contact Person 039,+91-9420452650,buyer039@examplebusiness.in,Gurugram,Haryana,Corporate,GSTIN0000000039,8500000,295000,Average,20,25900000,IndiaMART,Active
CUST-0040,Apex Industrial 040 Pvt Ltd,Contact Person 040,+91-9313579170,buyer040@examplebusiness.in,Jaipur,Rajasthan,EPC Contractor,GSTIN0000000040,8200000,0,Excellent,4,19100000,Referral,Active
CUST-0041,Bharat Industrial 041 Pvt Ltd,Contact Person 041,+91-9936043811,buyer041@examplebusiness.in,Kolkata,West Bengal,OEM,GSTIN0000000041,7400000,435000,Delayed,16,47000000,Trade Fair,Active
CUST-0042,Crest Industrial 042 Pvt Ltd,Contact Person 042,+91-9743111853,buyer042@examplebusiness.in,Bhubaneswar,Odisha,Government,GSTIN0000000042,500000,0,Good,10,25000000,Email,Active
CUST-0043,Delta Industrial 043 Pvt Ltd,Contact Person 043,+91-9489747629,buyer043@examplebusiness.in,Raipur,Chhattisgarh,Dealer,GSTIN0000000043,1900000,70000,High Risk,25,15700000,WhatsApp,Active
CUST-0044,Everest Industrial 044 Pvt Ltd,Contact Person 044,+91-9358633898,buyer044@examplebusiness.in,Indore,Madhya Pradesh,Distributor,GSTIN0000000044,1200000,635000,Average,18,48400000,Website,Inactive
CUST-0045,Falcon Industrial 045 Pvt Ltd,Contact Person 045,+91-9191969690,buyer045@examplebusiness.in,Nagpur,Maharashtra,Corporate,GSTIN0000000045,1500000,0,Excellent,23,24800000,IndiaMART,Active
CUST-0046,Galaxy Industrial 046 Pvt Ltd,Contact Person 046,+91-9922308461,buyer046@examplebusiness.in,Bengaluru,Karnataka,EPC Contractor,GSTIN0000000046,7300000,200000,Delayed,4,6500000,Referral,Active
CUST-0047,Horizon Industrial 047 Pvt Ltd,Contact Person 047,+91-9610330567,buyer047@examplebusiness.in,Chennai,Tamil Nadu,OEM,GSTIN0000000047,8900000,0,Good,17,8400000,Trade Fair,Active
CUST-0048,Indus Industrial 048 Pvt Ltd,Contact Person 048,+91-9751325257,buyer048@examplebusiness.in,Hyderabad,Telangana,Government,GSTIN0000000048,7200000,700000,High Risk,13,49300000,Email,Active
CUST-0049,Jupiter Industrial 049 Pvt Ltd,Contact Person 049,+91-9910959828,buyer049@examplebusiness.in,Mumbai,Maharashtra,Dealer,GSTIN0000000049,7400000,565000,Average,23,35300000,WhatsApp,Active
CUST-0050,Apex Industrial 050 Pvt Ltd,Contact Person 050,+91-9865523129,buyer050@examplebusiness.in,Pune,Maharashtra,Distributor,GSTIN0000000050,3000000,0,Excellent,9,20400000,Website,Active
CUST-0051,Bharat Industrial 051 Pvt Ltd,Contact Person 051,+91-9655742829,buyer051@examplebusiness.in,Ahmedabad,Gujarat,Corporate,GSTIN0000000051,6100000,980000,Delayed,14,6100000,IndiaMART,Active
CUST-0052,Crest Industrial 052 Pvt Ltd,Contact Person 052,+91-9341266931,buyer052@examplebusiness.in,Delhi,Delhi,EPC Contractor,GSTIN0000000052,3600000,0,Good,2,17300000,Referral,Active
CUST-0053,Delta Industrial 053 Pvt Ltd,Contact Person 053,+91-9694768704,buyer053@examplebusiness.in,Noida,Uttar Pradesh,OEM,GSTIN0000000053,8000000,75000,High Risk,7,30100000,Trade Fair,Active
CUST-0054,Everest Industrial 054 Pvt Ltd,Contact Person 054,+91-9176228245,buyer054@examplebusiness.in,Gurugram,Haryana,Government,GSTIN0000000054,500000,585000,Average,22,32300000,Email,Active
CUST-0055,Falcon Industrial 055 Pvt Ltd,Contact Person 055,+91-9345824373,buyer055@examplebusiness.in,Jaipur,Rajasthan,Dealer,GSTIN0000000055,1200000,0,Excellent,2,46300000,WhatsApp,Inactive
CUST-0056,Galaxy Industrial 056 Pvt Ltd,Contact Person 056,+91-9176082500,buyer056@examplebusiness.in,Kolkata,West Bengal,Distributor,GSTIN0000000056,4700000,105000,Delayed,16,12100000,Website,Active
CUST-0057,Horizon Industrial 057 Pvt Ltd,Contact Person 057,+91-9818309417,buyer057@examplebusiness.in,Bhubaneswar,Odisha,Corporate,GSTIN0000000057,4000000,0,Good,15,10900000,IndiaMART,Active
CUST-0058,Indus Industrial 058 Pvt Ltd,Contact Person 058,+91-9876693898,buyer058@examplebusiness.in,Raipur,Chhattisgarh,EPC Contractor,GSTIN0000000058,2100000,1405000,High Risk,18,29500000,Referral,Active
CUST-0059,Jupiter Industrial 059 Pvt Ltd,Contact Person 059,+91-9942478695,buyer059@examplebusiness.in,Indore,Madhya Pradesh,OEM,GSTIN0000000059,3600000,1235000,Average,15,41300000,Trade Fair,Active
CUST-0060,Apex Industrial 060 Pvt Ltd,Contact Person 060,+91-9304451095,buyer060@examplebusiness.in,Nagpur,Maharashtra,Government,GSTIN0000000060,5700000,0,Excellent,3,4900000,Email,Active
CUST-0061,Bharat Industrial 061 Pvt Ltd,Contact Person 061,+91-9554814084,buyer061@examplebusiness.in,Bengaluru,Karnataka,Dealer,GSTIN0000000061,5000000,1125000,Delayed,13,23900000,WhatsApp,Active
CUST-0062,Crest Industrial 062 Pvt Ltd,Contact Person 062,+91-9158165865,buyer062@examplebusiness.in,Chennai,Tamil Nadu,Distributor,GSTIN0000000062,9800000,0,Good,21,33400000,Website,Active
CUST-0063,Delta Industrial 063 Pvt Ltd,Contact Person 063,+91-9532311310,buyer063@examplebusiness.in,Hyderabad,Telangana,Corporate,GSTIN0000000063,1200000,275000,High Risk,23,17300000,IndiaMART,Active
CUST-0064,Everest Industrial 064 Pvt Ltd,Contact Person 064,+91-9305718272,buyer064@examplebusiness.in,Mumbai,Maharashtra,EPC Contractor,GSTIN0000000064,3600000,300000,Average,6,27400000,Referral,Active
CUST-0065,Falcon Industrial 065 Pvt Ltd,Contact Person 065,+91-9250519597,buyer065@examplebusiness.in,Pune,Maharashtra,OEM,GSTIN0000000065,6200000,0,Excellent,13,9300000,Trade Fair,Active
CUST-0066,Galaxy Industrial 066 Pvt Ltd,Contact Person 066,+91-9368227631,buyer066@examplebusiness.in,Ahmedabad,Gujarat,Government,GSTIN0000000066,6400000,735000,Delayed,2,22600000,Email,Inactive
CUST-0067,Horizon Industrial 067 Pvt Ltd,Contact Person 067,+91-9205128697,buyer067@examplebusiness.in,Delhi,Delhi,Dealer,GSTIN0000000067,7500000,0,Good,1,33300000,WhatsApp,Active
CUST-0068,Indus Industrial 068 Pvt Ltd,Contact Person 068,+91-9200140141,buyer068@examplebusiness.in,Noida,Uttar Pradesh,Distributor,GSTIN0000000068,600000,1405000,High Risk,24,43400000,Website,Active
CUST-0069,Jupiter Industrial 069 Pvt Ltd,Contact Person 069,+91-9536383774,buyer069@examplebusiness.in,Gurugram,Haryana,Corporate,GSTIN0000000069,2600000,630000,Average,15,24600000,IndiaMART,Active
CUST-0070,Apex Industrial 070 Pvt Ltd,Contact Person 070,+91-9530613729,buyer070@examplebusiness.in,Jaipur,Rajasthan,EPC Contractor,GSTIN0000000070,3200000,0,Excellent,1,8400000,Referral,Active
CUST-0071,Bharat Industrial 071 Pvt Ltd,Contact Person 071,+91-9519212169,buyer071@examplebusiness.in,Kolkata,West Bengal,OEM,GSTIN0000000071,500000,995000,Delayed,8,47400000,Trade Fair,Active
CUST-0072,Crest Industrial 072 Pvt Ltd,Contact Person 072,+91-9406284028,buyer072@examplebusiness.in,Bhubaneswar,Odisha,Government,GSTIN0000000072,6300000,0,Good,13,35600000,Email,Active
CUST-0073,Delta Industrial 073 Pvt Ltd,Contact Person 073,+91-9871385010,buyer073@examplebusiness.in,Raipur,Chhattisgarh,Dealer,GSTIN0000000073,8900000,1445000,High Risk,15,7900000,WhatsApp,Active
CUST-0074,Everest Industrial 074 Pvt Ltd,Contact Person 074,+91-9333754555,buyer074@examplebusiness.in,Indore,Madhya Pradesh,Distributor,GSTIN0000000074,4200000,510000,Average,1,29600000,Website,Active
CUST-0075,Falcon Industrial 075 Pvt Ltd,Contact Person 075,+91-9682177668,buyer075@examplebusiness.in,Nagpur,Maharashtra,Corporate,GSTIN0000000075,9900000,0,Excellent,1,38200000,IndiaMART,Active
CUST-0076,Galaxy Industrial 076 Pvt Ltd,Contact Person 076,+91-9153839920,buyer076@examplebusiness.in,Bengaluru,Karnataka,EPC Contractor,GSTIN0000000076,1200000,825000,Delayed,18,24400000,Referral,Active
CUST-0077,Horizon Industrial 077 Pvt Ltd,Contact Person 077,+91-9670292350,buyer077@examplebusiness.in,Chennai,Tamil Nadu,OEM,GSTIN0000000077,6900000,0,Good,5,2900000,Trade Fair,Inactive
CUST-0078,Indus Industrial 078 Pvt Ltd,Contact Person 078,+91-9299528037,buyer078@examplebusiness.in,Hyderabad,Telangana,Government,GSTIN0000000078,1500000,1325000,High Risk,2,30400000,Email,Active
CUST-0079,Jupiter Industrial 079 Pvt Ltd,Contact Person 079,+91-9352548261,buyer079@examplebusiness.in,Mumbai,Maharashtra,Dealer,GSTIN0000000079,9100000,195000,Average,12,6100000,WhatsApp,Active
CUST-0080,Apex Industrial 080 Pvt Ltd,Contact Person 080,+91-9364371717,buyer080@examplebusiness.in,Pune,Maharashtra,Distributor,GSTIN0000000080,7700000,0,Excellent,18,30400000,Website,Active
CUST-0081,Bharat Industrial 081 Pvt Ltd,Contact Person 081,+91-9188029013,buyer081@examplebusiness.in,Ahmedabad,Gujarat,Corporate,GSTIN0000000081,8400000,125000,Delayed,13,33600000,IndiaMART,Active
CUST-0082,Crest Industrial 082 Pvt Ltd,Contact Person 082,+91-9706907788,buyer082@examplebusiness.in,Delhi,Delhi,EPC Contractor,GSTIN0000000082,7900000,0,Good,16,16100000,Referral,Active
CUST-0083,Delta Industrial 083 Pvt Ltd,Contact Person 083,+91-9819112790,buyer083@examplebusiness.in,Noida,Uttar Pradesh,OEM,GSTIN0000000083,3100000,690000,High Risk,22,16000000,Trade Fair,Active
CUST-0084,Everest Industrial 084 Pvt Ltd,Contact Person 084,+91-9524971817,buyer084@examplebusiness.in,Gurugram,Haryana,Government,GSTIN0000000084,3800000,635000,Average,4,34300000,Email,Active
CUST-0085,Falcon Industrial 085 Pvt Ltd,Contact Person 085,+91-9422119408,buyer085@examplebusiness.in,Jaipur,Rajasthan,Dealer,GSTIN0000000085,8700000,0,Excellent,14,16100000,WhatsApp,Active
CUST-0086,Galaxy Industrial 086 Pvt Ltd,Contact Person 086,+91-9592080329,buyer086@examplebusiness.in,Kolkata,West Bengal,Distributor,GSTIN0000000086,600000,210000,Delayed,19,28800000,Website,Active
CUST-0087,Horizon Industrial 087 Pvt Ltd,Contact Person 087,+91-9178663096,buyer087@examplebusiness.in,Bhubaneswar,Odisha,Corporate,GSTIN0000000087,1700000,0,Good,17,10900000,IndiaMART,Active
CUST-0088,Indus Industrial 088 Pvt Ltd,Contact Person 088,+91-9242224154,buyer088@examplebusiness.in,Raipur,Chhattisgarh,EPC Contractor,GSTIN0000000088,3800000,1320000,High Risk,11,45100000,Referral,Inactive
CUST-0089,Jupiter Industrial 089 Pvt Ltd,Contact Person 089,+91-9496776692,buyer089@examplebusiness.in,Indore,Madhya Pradesh,OEM,GSTIN0000000089,3600000,200000,Average,9,8000000,Trade Fair,Active
CUST-0090,Apex Industrial 090 Pvt Ltd,Contact Person 090,+91-9995226828,buyer090@examplebusiness.in,Nagpur,Maharashtra,Government,GSTIN0000000090,6100000,0,Excellent,17,36000000,Email,Active
CUST-0091,Bharat Industrial 091 Pvt Ltd,Contact Person 091,+91-9966616964,buyer091@examplebusiness.in,Bengaluru,Karnataka,Dealer,GSTIN0000000091,8300000,795000,Delayed,20,27000000,WhatsApp,Active
CUST-0092,Crest Industrial 092 Pvt Ltd,Contact Person 092,+91-9817112652,buyer092@examplebusiness.in,Chennai,Tamil Nadu,Distributor,GSTIN0000000092,600000,0,Good,17,15300000,Website,Active
CUST-0093,Delta Industrial 093 Pvt Ltd,Contact Person 093,+91-9383968123,buyer093@examplebusiness.in,Hyderabad,Telangana,Corporate,GSTIN0000000093,2200000,290000,High Risk,3,45500000,IndiaMART,Active
CUST-0094,Everest Industrial 094 Pvt Ltd,Contact Person 094,+91-9266910922,buyer094@examplebusiness.in,Mumbai,Maharashtra,EPC Contractor,GSTIN0000000094,7500000,295000,Average,8,14400000,Referral,Active
CUST-0095,Falcon Industrial 095 Pvt Ltd,Contact Person 095,+91-9326161867,buyer095@examplebusiness.in,Pune,Maharashtra,OEM,GSTIN0000000095,8200000,0,Excellent,22,17500000,Trade Fair,Active
CUST-0096,Galaxy Industrial 096 Pvt Ltd,Contact Person 096,+91-9781007818,buyer096@examplebusiness.in,Ahmedabad,Gujarat,Government,GSTIN0000000096,9200000,545000,Delayed,8,25800000,Email,Active
CUST-0097,Horizon Industrial 097 Pvt Ltd,Contact Person 097,+91-9369639388,buyer097@examplebusiness.in,Delhi,Delhi,Dealer,GSTIN0000000097,6700000,0,Good,1,4700000,WhatsApp,Active
CUST-0098,Indus Industrial 098 Pvt Ltd,Contact Person 098,+91-9147337803,buyer098@examplebusiness.in,Noida,Uttar Pradesh,Distributor,GSTIN0000000098,4000000,1105000,High Risk,0,17000000,Website,Active
CUST-0099,Jupiter Industrial 099 Pvt Ltd,Contact Person 099,+91-9381272327,buyer099@examplebusiness.in,Gurugram,Haryana,Corporate,GSTIN0000000099,8600000,355000,Average,5,37900000,IndiaMART,Inactive
CUST-0100,Apex Industrial 100 Pvt Ltd,Contact Person 100,+91-9692362342,buyer100@examplebusiness.in,Jaipur,Rajasthan,EPC Contractor,GSTIN0000000100,6100000,0,Excellent,22,21800000,Referral,Active
