policy_id,customer_type,product_category,minimum_order_value_inr,maximum_order_value_inr,standard_discount_pct,maximum_discount_pct,auto_approval_limit_pct,approver_role,effective_from,status
DISC-031,Dealer,Steel Billet,1400000,10200000,11.29,14.86,6.55,Sales Head,2026-01-01,Active
DISC-032,Distributor,Steel Plate,1950000,5750000,4.94,13.25,5.47,Sales Head,2026-01-01,Active
DISC-033,Corporate,Steel Sheet,600000,4100000,1.9,7.15,5.7,Sales Manager,2026-01-01,Active
DISC-034,EPC Contractor,Steel Coil,4750000,14250000,5.83,9.23,4.99,Sales Head,2026-01-01,Active
DISC-035,OEM,Reinforcement Bar,2750000,5850000,2.79,3.32,1.51,Sales Manager,2026-01-01,Active
DISC-036,Government,I Beam,400000,8500000,5.07,8.98,5.5,Sales Head,2026-01-01,Active
DISC-037,Dealer,Channel Section,2100000,9900000,4.3,14.71,7.61,Sales Head,2026-01-01,Active
DISC-038,Distributor,Structural Angle,3300000,5000000,2.44,14.8,9.94,Sales Head,2026-01-01,Active
DISC-039,Corporate,Flat Bar,4850000,8850000,10.47,12.0,9.21,Sales Head,2026-01-01,Active
DISC-040,EPC Contractor,Round Bar,850000,3150000,7.84,10.82,4.9,Sales Head,2026-01-01,Active
DISC-041,OEM,Steel Pipe,1600000,8300000,2.09,11.66,7.82,Sales Head,2026-01-01,Active
DISC-042,Government,Hollow Section,4050000,10250000,0.82,4.76,2.69,Sales Manager,2026-01-01,Active
DISC-043,Dealer,Stainless Steel,4950000,8950000,1.75,2.3,1.39,Sales Manager,2026-01-01,Active
DISC-044,Distributor,Pipe Fitting,2400000,10300000,0.52,7.37,4.39,Sales Manager,2026-01-01,Active
DISC-045,Corporate,Industrial Grating,4700000,13300000,1.7,2.3,1.81,Sales Manager,2026-01-01,Active
DISC-046,EPC Contractor,Steel Billet,2300000,7800000,3.2,12.9,9.27,Sales Head,2026-01-01,Active
DISC-047,OEM,Steel Plate,2750000,7350000,10.48,12.55,7.5,Sales Head,2026-01-01,Active
DISC-048,Government,Steel Sheet,2200000,8900000,6.93,8.66,3.92,Sales Head,2026-01-01,Active
DISC-049,Dealer,Steel Coil,4400000,12900000,9.26,11.67,4.88,Sales Head,2026-01-01,Active
DISC-050,Distributor,Reinforcement Bar,2950000,5450000,0.82,1.23,0.95,Sales Manager,2026-01-01,Active
DISC-051,Corporate,I Beam,50000,9350000,13.59,14.89,8.5,Sales Head,2026-01-01,Active
DISC-052,EPC Contractor,Channel Section,4200000,8200000,0.94,5.23,3.92,Sales Manager,2026-01-01,Active
DISC-053,OEM,Structural Angle,2350000,11150000,1.16,4.51,2.47,Sales Manager,2026-01-01,Active
DISC-054,Government,Flat Bar,2550000,5950000,4.47,9.76,6.74,Sales Head,2026-01-01,Active
DISC-055,Dealer,Round Bar,600000,7200000,1.31,10.85,4.34,Sales Head,2026-01-01,Active
DISC-056,Distributor,Steel Pipe,3800000,4400000,0.53,4.17,2.8,Sales Manager,2026-01-01,Active
DISC-057,Corporate,Hollow Section,2200000,8100000,8.79,12.44,9.89,Sales Head,2026-01-01,Active
DISC-058,EPC Contractor,Stainless Steel,3100000,12900000,1.7,1.99,1.1,Sales Manager,2026-01-01,Active
DISC-059,OEM,Pipe Fitting,700000,2900000,2.37,5.39,4.06,Sales Manager,2026-01-01,Active
DISC-060,Government,Industrial Grating,4850000,13950000,2.32,13.24,8.69,Sales Head,2026-01-01,Active
DISC-061,Dealer,Steel Billet,3400000,6000000,4.19,8.89,5.73,Sales Head,2026-01-01,Active
DISC-062,Distributor,Steel Plate,4650000,10350000,2.64,3.98,2.78,Sales Manager,2026-01-01,Active
DISC-063,Corporate,Steel Sheet,2850000,4550000,2.26,13.04,5.67,Sales Head,2026-01-01,Active
DISC-064,EPC Contractor,Steel Coil,800000,6700000,3.25,9.25,5.12,Sales Head,2026-01-01,Active
DISC-065,OEM,Reinforcement Bar,900000,4500000,2.7,4.47,2.94,Sales Manager,2026-01-01,Active
DISC-066,Government,I Beam,3850000,13150000,0.78,11.1,5.71,Sales Head,2026-01-01,Active
DISC-067,Dealer,Channel Section,4250000,12450000,7.0,13.26,6.39,Sales Head,2026-01-01,Active
DISC-068,Distributor,Structural Angle,4800000,8300000,3.46,6.48,4.27,Sales Manager,2026-01-01,Active
DISC-069,Corporate,Flat Bar,750000,2150000,2.55,4.38,2.87,Sales Manager,2026-01-01,Active
DISC-070,EPC Contractor,Round Bar,100000,2200000,6.04,14.82,11.46,Sales Head,2026-01-01,Active
DISC-071,OEM,Steel Pipe,3650000,6350000,5.37,6.89,4.26,Sales Manager,2026-01-01,Active
DISC-072,Government,Hollow Section,4950000,5550000,0.9,2.02,1.28,Sales Manager,2026-01-01,Active
DISC-073,Dealer,Stainless Steel,300000,5800000,7.3,13.92,10.85,Sales Head,2026-01-01,Active
DISC-074,Distributor,Pipe Fitting,4050000,9950000,7.85,10.98,7.76,Sales Head,2026-01-01,Active
DISC-075,Corporate,Industrial Grating,550000,2950000,3.13,9.97,6.13,Sales Head,2026-01-01,Active
DISC-076,EPC Contractor,Steel Billet,2000000,4400000,1.36,2.11,1.62,Sales Manager,2026-01-01,Active
DISC-077,OEM,Steel Plate,2550000,11350000,6.43,9.21,6.5,Sales Head,2026-01-01,Active
DISC-078,Government,Steel Sheet,450000,3950000,0.78,5.34,3.07,Sales Manager,2026-01-01,Active
DISC-079,Dealer,Steel Coil,600000,8900000,8.68,13.94,6.22,Sales Head,2026-01-01,Active
DISC-080,Distributor,Reinforcement Bar,2000000,4700000,1.67,10.33,6.85,Sales Head,2026-01-01,Active
DISC-081,Corporate,I Beam,4550000,11350000,2.81,2.92,1.18,Sales Manager,2026-01-01,Active
DISC-082,EPC Contractor,Channel Section,3350000,7150000,1.79,8.24,6.01,Sales Head,2026-01-01,Active
DISC-083,OEM,Structural Angle,850000,10650000,10.25,11.5,8.62,Sales Head,2026-01-01,Active
DISC-084,Government,Flat Bar,4950000,10850000,4.06,13.6,7.26,Sales Head,2026-01-01,Active
DISC-085,Dealer,Round Bar,450000,8950000,0.82,4.68,3.7,Sales Manager,2026-01-01,Active
DISC-086,Distributor,Steel Pipe,2950000,10650000,1.78,8.15,3.44,Sales Head,2026-01-01,Active
DISC-087,Corporate,Hollow Section,1050000,8850000,3.24,4.57,2.02,Sales Manager,2026-01-01,Active
DISC-088,EPC Contractor,Stainless Steel,750000,1750000,3.68,4.2,2.53,Sales Manager,2026-01-01,Active
DISC-089,OEM,Pipe Fitting,100000,5500000,4.11,4.42,2.6,Sales Manager,2026-01-01,Active
DISC-090,Government,Industrial Grating,1150000,8650000,11.37,14.04,10.43,Sales Head,2026-01-01,Active
DISC-091,Dealer,Steel Billet,4600000,9200000,3.2,11.37,6.46,Sales Head,2026-01-01,Active
DISC-092,Distributor,Steel Plate,4650000,12450000,2.36,5.48,4.0,Sales Manager,2026-01-01,Active
DISC-093,Corporate,Steel Sheet,3250000,6550000,8.49,10.43,4.39,Sales Head,2026-01-01,Active
DISC-094,EPC Contractor,Steel Coil,300000,6700000,12.5,14.36,6.14,Sales Head,2026-01-01,Active
DISC-095,OEM,Reinforcement Bar,2000000,2600000,2.37,5.58,3.47,Sales Manager,2026-01-01,Active
DISC-096,Government,I Beam,1900000,10300000,2.54,8.89,4.64,Sales Head,2026-01-01,Active
DISC-097,Dealer,Channel Section,2400000,5400000,6.93,9.28,5.54,Sales Head,2026-01-01,Active
DISC-098,Distributor,Structural Angle,3500000,4000000,10.9,11.65,5.8,Sales Head,2026-01-01,Active
DISC-099,Corporate,Flat Bar,200000,9500000,3.8,4.26,2.29,Sales Manager,2026-01-01,Active
DISC-100,EPC Contractor,Round Bar,2150000,12050000,0.88,1.02,0.68,Sales Manager,2026-01-01,Active
