product_code,product_name,plant,daily_capacity,current_daily_load,available_daily_capacity,active_shifts,estimated_lead_time_days,capacity_status,earliest_completion_date
GRT-045,Industrial Grating Model 045,Plant Hosur,150,33,117,4,11,Available,2026-07-25
MSB-046,Steel Billet Model 046,Plant Pune,235,178,57,1,17,Available,2026-07-31
MSP-047,Steel Plate Model 047,Plant Faridabad,17,7,10,2,24,Available,2026-08-07
SHT-048,Steel Sheet Model 048,Plant Bengaluru,89,70,19,4,2,Available,2026-07-16
COI-049,Steel Coil Model 049,Plant Hosur,33,14,19,1,28,Available,2026-08-11
TMT-050,Reinforcement Bar Model 050,Plant Pune,128,30,98,2,22,Available,2026-08-05
IBE-051,I Beam Model 051,Plant Faridabad,137,74,63,3,18,Available,2026-08-01
CHN-052,Channel Section Model 052,Plant Bengaluru,116,106,10,4,17,Constrained,2026-07-31
ANG-053,Structural Angle Model 053,Plant Hosur,72,58,14,2,19,Constrained,2026-08-02
FLT-054,Flat Bar Model 054,Plant Pune,108,24,84,2,21,Available,2026-08-04
RND-055,Round Bar Model 055,Plant Faridabad,231,17,214,4,10,Available,2026-07-24
PIP-056,Steel Pipe Model 056,Plant Bengaluru,97,64,33,1,10,Available,2026-07-24
HSS-057,Hollow Section Model 057,Plant Hosur,82,38,44,4,28,Available,2026-08-11
SSP-058,Stainless Steel Model 058,Plant Pune,231,38,193,4,16,Available,2026-07-30
FIT-059,Pipe Fitting Model 059,Plant Faridabad,98,42,56,4,19,Available,2026-08-02
GRT-060,Industrial Grating Model 060,Plant Bengaluru,126,119,7,2,12,Constrained,2026-07-26
MSB-061,Steel Billet Model 061,Plant Hosur,188,61,127,4,20,Available,2026-08-03
MSP-062,Steel Plate Model 062,Plant Pune,69,52,17,3,3,Available,2026-07-17
SHT-063,Steel Sheet Model 063,Plant Faridabad,200,121,79,4,24,Available,2026-08-07
COI-064,Steel Coil Model 064,Plant Bengaluru,108,84,24,2,27,Available,2026-08-10
TMT-065,Reinforcement Bar Model 065,Plant Hosur,136,9,127,3,6,Available,2026-07-20
IBE-066,I Beam Model 066,Plant Pune,232,25,207,4,29,Available,2026-08-12
CHN-067,Channel Section Model 067,Plant Faridabad,35,33,2,1,16,Constrained,2026-07-30
ANG-068,Structural Angle Model 068,Plant Bengaluru,194,36,158,2,15,Available,2026-07-29
FLT-069,Flat Bar Model 069,Plant Hosur,29,15,14,3,27,Available,2026-08-10
RND-070,Round Bar Model 070,Plant Pune,96,79,17,4,24,Constrained,2026-08-07
PIP-071,Steel Pipe Model 071,Plant Faridabad,176,20,156,3,29,Available,2026-08-12
HSS-072,Hollow Section Model 072,Plant Bengaluru,228,172,56,4,29,Available,2026-08-12
SSP-073,Stainless Steel Model 073,Plant Hosur,91,80,11,4,24,Constrained,2026-08-07
FIT-074,Pipe Fitting Model 074,Plant Pune,233,138,95,1,3,Available,2026-07-17
GRT-075,Industrial Grating Model 075,Plant Faridabad,70,36,34,1,9,Available,2026-07-23
MSB-076,Steel Billet Model 076,Plant Bengaluru,121,12,109,1,26,Available,2026-08-09
MSP-077,Steel Plate Model 077,Plant Hosur,123,21,102,3,24,Available,2026-08-07
SHT-078,Steel Sheet Model 078,Plant Pune,241,7,234,3,3,Available,2026-07-17
COI-079,Steel Coil Model 079,Plant Faridabad,213,14,199,3,11,Available,2026-07-25
TMT-080,Reinforcement Bar Model 080,Plant Bengaluru,105,55,50,2,6,Available,2026-07-20
IBE-081,I Beam Model 081,Plant Hosur,145,105,40,2,20,Available,2026-08-03
CHN-082,Channel Section Model 082,Plant Pune,53,11,42,4,4,Available,2026-07-18
ANG-083,Structural Angle Model 083,Plant Faridabad,168,61,107,2,17,Available,2026-07-31
FLT-084,Flat Bar Model 084,Plant Bengaluru,69,59,10,3,22,Constrained,2026-08-05
RND-085,Round Bar Model 085,Plant Hosur,127,65,62,1,23,Available,2026-08-06
PIP-086,Steel Pipe Model 086,Plant Pune,240,205,35,3,16,Constrained,2026-07-30
HSS-087,Hollow Section Model 087,Plant Faridabad,183,139,44,1,7,Available,2026-07-21
SSP-088,Stainless Steel Model 088,Plant Bengaluru,123,120,3,3,13,Constrained,2026-07-27
FIT-089,Pipe Fitting Model 089,Plant Hosur,173,108,65,3,24,Available,2026-08-07
GRT-090,Industrial Grating Model 090,Plant Pune,126,108,18,2,11,Constrained,2026-07-25
MSB-091,Steel Billet Model 091,Plant Faridabad,108,61,47,2,5,Available,2026-07-19
MSP-092,Steel Plate Model 092,Plant Bengaluru,107,73,34,3,13,Available,2026-07-27
SHT-093,Steel Sheet Model 093,Plant Hosur,189,75,114,4,2,Available,2026-07-16
COI-094,Steel Coil Model 094,Plant Pune,80,1,79,1,20,Available,2026-08-03
TMT-095,Reinforcement Bar Model 095,Plant Faridabad,243,155,88,4,25,Available,2026-08-08
IBE-096,I Beam Model 096,Plant Bengaluru,223,73,150,2,26,Available,2026-08-09
CHN-097,Channel Section Model 097,Plant Hosur,165,90,75,2,9,Available,2026-07-23
ANG-098,Structural Angle Model 098,Plant Pune,168,64,104,2,23,Available,2026-08-06
FLT-099,Flat Bar Model 099,Plant Faridabad,170,24,146,1,30,Available,2026-08-13
RND-100,Round Bar Model 100,Plant Bengaluru,89,56,33,3,3,Available,2026-07-17
